Symbol,Sector
ORIENTPPR,Basic Materials
DREDGECORP,Industrials
AMBIKCO,Consumer Cyclical
CENTRUM,Financial Services
LINC,Industrials
RGL,Consumer Cyclical
SCHAND,Communication Services
NELCAST,Industrials
FAZE3Q,Consumer Cyclical
KICL,Financial Services
DVL,Financial Services
JAGSNPHARM,Healthcare
POKARNA,Industrials
IFGLEXPOR,Basic Materials
TRIL,Industrials
CENTENKA,Consumer Cyclical
SMCGLOBAL,Financial Services
ROHLTD,Consumer Cyclical
INDNIPPON,Consumer Cyclical
SHAKTIPUMP,Industrials
NGLFINE,Healthcare
IMPAL,Consumer Cyclical
BLISSGVS,Healthcare
ALLSEC,Industrials
ORIENTBELL,Industrials
MANGLMCEM,Basic Materials
SANDESH,Communication Services
BODALCHEM,Basic Materials
ESTER,Basic Materials
ZOTA,Healthcare
RSWM,Consumer Cyclical
INDRAMEDCO,Healthcare
QUICKHEAL,Technology
SRHHYPOLTD,Basic Materials
AURIONPRO,Technology
GSLSU,Basic Materials
SASTASUNDR,Healthcare
MANAKSIA,Industrials
AWHCL,Industrials
BLKASHYAP,Industrials
RAMRAT,Industrials
JINDRILL,Energy
VIMTALABS,Healthcare
CLOUD,
DPABHUSHAN,Consumer Cyclical
MOLDTECH,Industrials
ATULAUTO,Consumer Cyclical
KOKUYOCMLN,Industrials
SIGACHI,Healthcare
HIMATSEIDE,Consumer Cyclical
LINCOLN,Healthcare
GREENPOWER,Utilities
EMAMIPAP,
SATINDLTD,
RAMCOSYS,Technology
HPAL,Basic Materials
OCCL,Basic Materials
FOCUS,Consumer Cyclical
GEPIL,Industrials
SUTLEJTEX,Consumer Cyclical
PANACEABIO,Healthcare
JAIBALAJI,Basic Materials
RML,Consumer Cyclical
JETAIRWAYS,Industrials
TRACXN,Technology
KHAICHEM,
TNPETRO,Basic Materials
ONWARDTEC,Technology
TFCILTD,Financial Services
ONMOBILE,Communication Services
INNOVANA,
GANDHITUBE,Industrials
TEXINFRA,Real Estate
MEDICO,Healthcare
TVSELECT,Technology
HEUBACHIND,Basic Materials
VINYLINDIA,Basic Materials
PARACABLES,Technology
FOODSIN,
HLVLTD,Consumer Cyclical
COFFEEDAY,Consumer Cyclical
BETA,
APEX,Consumer Defensive
YUKEN,Industrials
ELIN,Industrials
MONARCH,Financial Services
DMCC,Basic Materials
CHEVIOT,Consumer Cyclical
XCHANGING,Technology
VISAKAIND,Industrials
SUMMITSEC,Financial Services
SUKHJITS,Basic Materials
INDIANHUME,Industrials
JUBLINDS,Basic Materials
ASALCBR,Consumer Defensive
DECCANCE,Basic Materials
JAYBARMARU,Consumer Cyclical
COOLCAPS,
APOLLO,Industrials
ELDEHSG,Real Estate
HERCULES,Industrials
4THDIM,
KRITI,Industrials
AGSTRA,Technology
NAHARPOLY,Consumer Cyclical
MANINDS,Basic Materials
ENIL,Communication Services
SYNCOMF,Healthcare
KAMOPAINTS,Basic Materials
NAGAFERT,Basic Materials
SCPL,Consumer Defensive
HPL,Industrials
INDOAMIN,Basic Materials
DCMSRIND,
MENONBE,Consumer Cyclical
VASCONEQ,Industrials
VLSFINANCE,Financial Services
BALAXI,
ZEEMEDIA,Communication Services
CREATIVE,Technology
KRISHIVAL,
SNOWMAN,Industrials
KOPRAN,Healthcare
SHREYAS,Industrials
REFEX,Energy
KSOLVES,Technology
GFLLIMITED,Communication Services
SPECTRUM,
RUSHIL,Consumer Cyclical
IRISDOREME,Consumer Cyclical
BINDALAGRO,
SELMC,Consumer Cyclical
BHAGERIA,Basic Materials
ZUARI,Basic Materials
TALBROAUTO,Consumer Cyclical
RUBYMILLS,Consumer Cyclical
OSWALSEEDS,Basic Materials
DPWIRES,Industrials
SMSPHARMA,Healthcare
DHARMAJ,Basic Materials
RBL,Consumer Cyclical
GOYALALUM,Basic Materials
NRL,Industrials
MIRZAINT,Consumer Cyclical
VIKASLIFE,Consumer Defensive
WINDLAS,Healthcare
HITECHGEAR,Consumer Cyclical
SHREEPUSHK,Basic Materials
SPENCERS,Consumer Cyclical
KANORICHEM,Basic Materials
JPOLYINVST,Financial Services
ASAL,Consumer Cyclical
SILVERTUC,Technology
3IINFOLTD,Technology
MALLCOM,Industrials
CREST,Financial Services
REPRO,Industrials
MARINE,Industrials
KECL,Industrials
DENORA,Industrials
EXXARO,Industrials
MAGADSUGAR,Consumer Defensive
ASIANTILES,Industrials
JAYAGROGN,Basic Materials
DIGISPICE,Technology
BBTCL,Consumer Cyclical
PREMEXPLN,Basic Materials
SWELECTES,Technology
KELLTONTEC,Technology
MUTHOOTCAP,Financial Services
APCL,Basic Materials
ASIANENE,Energy
DONEAR,Consumer Cyclical
ADSL,Technology
BANSWRAS,Consumer Cyclical
NAHARCAP,Financial Services
ICEMAKE,Industrials
BAIDFIN,Financial Services
STCINDIA,Industrials
TBZ,Consumer Cyclical
SALZERELEC,Industrials
IFBAGRO,Consumer Defensive
PTL,Real Estate
ARIHANTCAP,Financial Services
CSLFINANCE,Financial Services
JSLL,
UNIVPHOTO,Healthcare
HARDWYN,Industrials
DSSL,Technology
REVATHI,
HCL-INSYS,Technology
PLASTIBLEN,Basic Materials
UNIDT,Energy
CAREERP,Industrials
ARROWGREEN,Consumer Cyclical
SREEL,Consumer Cyclical
SBC,Industrials
RADIOCITY,Communication Services
SERVOTECH,
SAKAR,Healthcare
BALAJITELE,Communication Services
NXTDIGITAL,
GOACARBON,Basic Materials
BIRLACABLE,Technology
RITCO,Industrials
SELAN,Energy
ASCOM,
OSIAHYPER,Consumer Cyclical
HINDCOMPOS,Consumer Cyclical
DHANBANK,Financial Services
DYCL,Industrials
DHUNINV,Financial Services
EIFFL,Consumer Defensive
MUNJALAU,Consumer Cyclical
NAHARINDUS,Consumer Cyclical
DELPHIFX,Financial Services
URJA,Technology
PRIMESECU,Financial Services
NECLIFE,Healthcare
NBIFIN,Financial Services
GRPLTD,Consumer Cyclical
MAWANASUG,Consumer Defensive
ZIMLAB,Healthcare
PDMJEPAPER,Basic Materials
ONEPOINT,Industrials
MAXIND,Healthcare
SHYAMCENT,Basic Materials
VARDHACRLC,Consumer Cyclical
RADHIKAJWE,Consumer Cyclical
NPST,
THEINVEST,Financial Services
HTMEDIA,Communication Services
NRAIL,Basic Materials
RCOM,Communication Services
DICIND,Basic Materials
OSWALAGRO,Real Estate
POCL,Basic Materials
AARTISURF,Basic Materials
SKMEGGPROD,Consumer Defensive
SOLEX,
DEEPENR,Energy
FCSSOFT,Technology
MUNJALSHOW,Consumer Cyclical
KOTHARIPRO,Industrials
PONNIERODE,Consumer Defensive
CHEMBOND,Basic Materials
USASEEDS,
KERNEX,Technology
RANASUG,Consumer Defensive
CUPID,Consumer Defensive
BGRENERGY,Industrials
GENUSPAPER,Basic Materials
GSS,Technology
PENINLAND,Real Estate
JYOTISTRUC,Industrials
ADVANIHOTR,Consumer Cyclical
KAYA,Consumer Defensive
KOTHARIPET,Basic Materials
LIBERTSHOE,Consumer Cyclical
KHADIM,Consumer Cyclical
PPL,Industrials
VIPCLOTHNG,Consumer Cyclical
NDRAUTO,Consumer Cyclical
PROZONINTU,
INDOBORAX,Basic Materials
CONSOFINVT,Financial Services
INDSWFTLAB,Healthcare
ZUARIIND,Industrials
GVKPIL,Utilities
SBGLP,Real Estate
HIRECT,Industrials
CHEMFAB,Basic Materials
GLOBAL,Consumer Defensive
ANNAPURNA,
INTLCONV,Industrials
EMKAYTOOLS,
ORBTEXP,Consumer Cyclical
SOUTHWEST,Energy
KAMATHOTEL,Consumer Cyclical
RAJMET,Basic Materials
RAMAPHO,Basic Materials
OMINFRAL,Industrials
HMVL,Communication Services
AYMSYNTEX,Consumer Cyclical
MSPL,Basic Materials
WEALTH,Financial Services
UNITECH,Real Estate
WEBELSOLAR,Technology
NURECA,Healthcare
LYKALABS,Healthcare
GKWLIMITED,Industrials
MHLXMIRU,Consumer Cyclical
AURUM,Technology
SKYGOLD,Consumer Cyclical
ALBERTDAVD,Healthcare
SHIVAUM,
PAVNAIND,Consumer Cyclical
CINELINE,Real Estate
KOTARISUG,Consumer Defensive
SHEMAROO,Communication Services
SILINV,Financial Services
SKP,
MMP,Basic Materials
EQUIPPP,Basic Materials
MANORG,Basic Materials
CYBERTECH,Technology
TRIGYN,Technology
SINTERCOM,Consumer Cyclical
JINDALPHOT,Financial Services
SARLAPOLY,Consumer Cyclical
RUCHIRA,Basic Materials
ESSENTIA,Consumer Defensive
MACPOWER,Industrials
AUTOIND,Consumer Cyclical
ORIENTABRA,
APOLSINHOT,Industrials
DYNPRO,Basic Materials
CLEDUCATE,Consumer Defensive
PARSVNATH,Real Estate
GSCLCEMENT,
MIRCELECTR,Consumer Cyclical
VISHWARAJ,Consumer Defensive
HINDMOTORS,Consumer Cyclical
NINSYS,Technology
NATHBIOGEN,Basic Materials
KNAGRI,
GEECEE,Real Estate
KCPSUGIND,Consumer Defensive
STEL,Consumer Defensive
PODDARMENT,Basic Materials
KOTYARK,
HITECHCORP,Consumer Cyclical
EUROBOND,
MICEL,Technology
ORICONENT,Consumer Cyclical
20MICRONS,Basic Materials
MWL,
MINDTECK,Technology
BMETRICS,
GOKUL,Consumer Defensive
SECL,
DUGLOBAL,
WEL,Consumer Cyclical
SUPERHOUSE,Consumer Cyclical
LOYALTEX,Consumer Cyclical
BPL,Technology
BIRLAMONEY,Financial Services
GPTINFRA,Industrials
E2E,Technology
SHIVAMAUTO,Consumer Cyclical
DCMNVL,Consumer Cyclical
MAZDA,Industrials
MADHAVBAUG,
WINDMACHIN,Industrials
BASML,Consumer Cyclical
WALCHANNAG,Industrials
SEJALLTD,Industrials
UCALFUEL,
MAHEPC,Industrials
V2RETAIL,Consumer Cyclical
SAKUMA,Consumer Defensive
VERTOZ,Communication Services
KMSUGAR,Consumer Defensive
ASHIMASYN,Consumer Cyclical
UFO,Communication Services
VIKASECO,Basic Materials
SAKHTISUG,Consumer Defensive
MAHESHWARI,Industrials
MAANALU,Basic Materials
HUBTOWN,Real Estate
REPL,Industrials
QMSMEDI,
MANAKSTEEL,Basic Materials
EMAMIREAL,Real Estate
GENCON,Industrials
STARPAPER,Basic Materials
GUJAPOLLO,Industrials
JAYSREETEA,Consumer Defensive
NDL,Consumer Cyclical
BCONCEPTS,Consumer Cyclical
GIRRESORTS,Consumer Cyclical
SMLT,Industrials
TPLPLASTEH,Consumer Cyclical
TEMBO,Industrials
DANGEE,Consumer Cyclical
NIPPOBATRY,Industrials
ASIANHOTNR,Consumer Cyclical
BRNL,Industrials
PPAP,Consumer Cyclical
PASUPTAC,Consumer Cyclical
FROG,
ASAHISONG,Basic Materials
PRECOT,Consumer Cyclical
MEP,Industrials
VENUSREM,Healthcare
KILITCH,Healthcare
BTML,Communication Services
MEGASTAR,Consumer Defensive
DRCSYSTEMS,Technology
ZODIACLOTH,Consumer Cyclical
HILTON,Industrials
INDOTHAI,Financial Services
JITFINFRA,Industrials
EROSMEDIA,Communication Services
DEVIT,Technology
BIL,Consumer Cyclical
EIMCOELECO,Industrials
ANMOL,Energy
COASTCORP,Consumer Defensive
RAJTV,Communication Services
KORE,
RELCAPITAL,Financial Services
MGEL,Consumer Defensive
FOCE,
INDTERRAIN,Consumer Cyclical
TAKE,Healthcare
TOTAL,Industrials
ACCURACY,Industrials
AVG,Industrials
HARRMALAYA,Consumer Defensive
SHREYANIND,Basic Materials
LOKESHMACH,Industrials
LGBFORGE,Industrials
SYSTANGO,
SIGMA,Technology
MARALOVER,Consumer Cyclical
ABAN,Energy
BAFNAPH,Healthcare
BEDMUTHA,Basic Materials
SIMPLEXINF,Industrials
ARIES,Basic Materials
DTIL,Consumer Defensive
KRITINUT,Consumer Defensive
IVC,Financial Services
IITL,Financial Services
SWASTIK,
AARON,Industrials
VITAL,
BEWLTD,
NILAINFRA,Real Estate
INDOTECH,Industrials
PVP,Industrials
AHLEAST,Consumer Cyclical
SAH,Consumer Cyclical
TIPSFILMS,Communication Services
PHANTOMFX,
DUCOL,
KANPRPLA,Consumer Cyclical
VINNY,Consumer Cyclical
MCLEODRUSS,Consumer Defensive
TRF,Industrials
ALLETEC,
MANOMAY,Consumer Cyclical
INSPIRISYS,Technology
AIRAN,Technology
MODISONLTD,Industrials
MURUDCERA,Industrials
TIRUPATI,
PAR,Healthcare
SGIL,Industrials
SPLIL,Consumer Cyclical
GEEKAYWIRE,Industrials
PALREDTEC,Technology
ESSARSHPNG,Industrials
SIL,Consumer Cyclical
PRITI,Consumer Cyclical
AKSHARCHEM,Basic Materials
RAMANEWS,Basic Materials
RUCHINFRA,Industrials
ALANKIT,Technology
MEGASOFT,Healthcare
IZMO,Technology
GULFPETRO,Energy
TOUCHWOOD,Communication Services
SARVESHWAR,Consumer Defensive
TARMAT,Industrials
RPPL,Consumer Cyclical
IEL,Industrials
BHARATGEAR,Consumer Cyclical
GOLDTECH,Technology
MBLINFRA,Industrials
PROPEQUITY,
EMKAY,Financial Services
IL&FSENGG,Industrials
BSL,Consumer Cyclical
UNITEDPOLY,Consumer Cyclical
PASHUPATI,
SHIVATEX,Consumer Cyclical
MANGALAM,Healthcare
KRISHNADEF,
PREMIERPOL,Basic Materials
SMSLIFE,Healthcare
GOLDSTAR,
BROOKS,Healthcare
VAISHALI,Healthcare
ALMONDZ,Financial Services
3RDROCK,Industrials
PRESSMN,
AARVI,Industrials
AKSHAR,Consumer Cyclical
LATTEYS,Industrials
VISESHINFO,Technology
BHAGYANGR,Basic Materials
TTL,Consumer Cyclical
SADBHAV,Industrials
COMPUSOFT,Consumer Defensive
KAKATCEM,Basic Materials
RPPINFRA,Industrials
SVLL,Industrials
SMARTLINK,Technology
ASPINWALL,Consumer Defensive
LAMBODHARA,Consumer Cyclical
DJML,Industrials
TIL,Industrials
ELGIRUBCO,Consumer Cyclical
JAINAM,
WORTH,Consumer Cyclical
ISFT,Consumer Cyclical
GINNIFILA,Consumer Cyclical
PILITA,Consumer Cyclical
SOFTTECH,Technology
DUCON,Industrials
VETO,Industrials
RANEENGINE,Consumer Cyclical
AVONMORE,Financial Services
KBCGLOBAL,Real Estate
PANSARI,Real Estate
MODIRUBBER,Real Estate
INVENTURE,Financial Services
KAPSTON,Industrials
AKSHOPTFBR,Technology
JMA,Consumer Cyclical
EMMBI,Consumer Cyclical
NITCO,Industrials
IRIS,Technology
SHERA,
DRSDILIP,
UNITEDTEA,Consumer Defensive
JOCIL,Basic Materials
MANAKALUCO,Basic Materials
VIPULLTD,Real Estate
SIKKO,Basic Materials
GILLANDERS,Industrials
SVPGLOB,Consumer Cyclical
VISASTEEL,Basic Materials
DCM,Industrials
INTENTECH,Technology
TEXMOPIPES,Industrials
WEIZMANIND,Consumer Cyclical
BYKE,Consumer Cyclical
RAJSREESUG,Consumer Defensive
ZODIAC,
ARSHIYA,Industrials
UMANGDAIRY,Consumer Defensive
LOVABLE,Consumer Cyclical
HOMESFY,
ALPHAGEO,Energy
NDGL,Financial Services
PRAXIS,Consumer Cyclical
ARTNIRMAN,Real Estate
SHIGAN,
NOIDATOLL,Industrials
UMAEXPORTS,Consumer Defensive
VELS,
ATLANTA,Industrials
MOTOGENFIN,Real Estate
AVROIND,Consumer Cyclical
SALONA,Consumer Cyclical
INDIANCARD,Consumer Cyclical
SPTL,Consumer Cyclical
PRITIKAUTO,Industrials
URAVI,Consumer Cyclical
IVP,Basic Materials
MAHAPEXLTD,Financial Services
SOMATEX,Consumer Cyclical
LEXUS,Industrials
WANBURY,Healthcare
LOTUSEYE,Healthcare
KREBSBIO,Healthcare
RNAVAL,Industrials
WSI,Industrials
RHFL,Financial Services
HDIL,Real Estate
DCI,Technology
RVHL,Real Estate
XELPMOC,Technology
RKEC,Industrials
RELCHEMQ,Consumer Cyclical
DIL,Industrials
ATALREAL,Industrials
KOHINOOR,Consumer Defensive
SALSTEEL,Basic Materials
A2ZINFRA,Industrials
TARACHAND,
INDOWIND,Utilities
BLBLIMITED,Financial Services
FRETAIL,Consumer Cyclical
ROML,
SURANAT&P,Utilities
ALPA,Healthcare
SUNDRMBRAK,Consumer Cyclical
PARIN,
NILASPACES,Real Estate
AHLADA,Industrials
MAGNUM,Basic Materials
REMSONSIND,Consumer Cyclical
STARTECK,Financial Services
BOHRAIND,Basic Materials
COMPINFO,Technology
CORALFINAC,Real Estate
MRO-TEK,Technology
SECURKLOUD,Technology
ZEELEARN,Consumer Defensive
SADBHIN,Industrials
BALPHARMA,Healthcare
NIRAJ,Industrials
GSTL,
OBCL,Industrials
TAINWALCHM,Basic Materials
ARCHIDPLY,Basic Materials
JHS,Consumer Defensive
SITINET,Communication Services
MUKTAARTS,Communication Services
CMNL,
GAYAPROJ,Industrials
AKG,Consumer Defensive
FCONSUMER,Consumer Defensive
PALASHSECU,Consumer Defensive
CCHHL,Consumer Cyclical
SIGIND,Basic Materials
AIROLAM,Consumer Cyclical
WELINV,Financial Services
LEMERITE,
CTE,Technology
UNIVASTU,Industrials
SUNDARAM,Basic Materials
MANAKCOAT,Industrials
ARVEE,Basic Materials
SECURCRED,Industrials
ASTRON,Basic Materials
FLFL,Consumer Cyclical
STEELCITY,Financial Services
LLOYDS,
GANGESSECU,Consumer Defensive
INDBANK,Financial Services
SUMIT,Real Estate
FIBERWEB,Consumer Cyclical
ALKALI,Basic Materials
LASA,Healthcare
JAIPURKURT,
MHHL,
BAHETI,
DGCONTENT,Communication Services
VMARCIND,
PKTEA,Consumer Defensive
DAMODARIND,Consumer Cyclical
NECCLTD,Industrials
CAPTRUST,Financial Services
MITCON,Industrials
TIRUPATIFL,Industrials
IL&FSTRANS,Industrials
SRPL,Consumer Defensive
SURYALAXMI,Consumer Cyclical
CEREBRAINT,Technology
KSHITIJPOL,
LAGNAM,Consumer Cyclical
ANLON,
AMJLAND,Real Estate
BINANIIND,Basic Materials
PROLIFE,
INCREDIBLE,Basic Materials
SHAHALLOYS,Basic Materials
AMDIND,Consumer Cyclical
OMAXAUTO,Consumer Cyclical
TOKYOPLAST,Consumer Cyclical
GROBTEA,Consumer Defensive
ANIKINDS,Consumer Defensive
SURANASOL,Technology
FIDEL,
MAHASTEEL,Basic Materials
AURDIS,
SIMBHALS,Consumer Defensive
GAL,
GICL,
KALYANIFRG,Consumer Cyclical
HINDCON,Basic Materials
CORDSCABLE,Industrials
YAARI,Financial Services
SONAMCLOCK,Consumer Cyclical
MAHICKRA,
HPIL,Basic Materials
LPDC,Real Estate
DBSTOCKBRO,Financial Services
AUSOMENT,Financial Services
BALLARPUR,Basic Materials
AVSL,
SPMLINFRA,Industrials
BANKA,Industrials
GOLDENTOBC,Consumer Defensive
GTL,Communication Services
ENERGYDEV,Utilities
PANACHE,Technology
PIGL,Industrials
DELTAMAGNT,Industrials
SHRADHA,Real Estate
PIONEEREMB,Consumer Cyclical
GLOBALVECT,Industrials
BAGFILMS,Communication Services
WIPL,Basic Materials
NITIRAJ,Technology
BEARDSELL,Industrials
KRITIKA,Basic Materials
PATINTLOG,Industrials
SETCO,Consumer Cyclical
PRAENG,Real Estate
ELECTHERM,Basic Materials
UCL,
PRAKASHSTL,Basic Materials
CINEVISTA,Communication Services
SUULD,Consumer Cyclical
FLEXITUFF,Consumer Cyclical
MDL,
HISARMETAL,Basic Materials
SUVIDHAA,Technology
BIOFILCHEM,Healthcare
MARSHALL,Industrials
ARIHANTACA,
CELEBRITY,Consumer Cyclical
VIAZ,
DHRUV,Industrials
CENTEXT,Basic Materials
DOLLEX,
BHANDARI,Consumer Cyclical
TREJHARA,Technology
FELIX,
NGIL,Consumer Defensive
SUPREMEINF,Industrials
AGROPHOS,Basic Materials
MCL,Basic Materials
OILCOUNTUB,Energy
UMA,
MORARJEE,Consumer Cyclical
SRIVASAVI,
AAREYDRUGS,Healthcare
AAKASH,Energy
VASWANI,Basic Materials
KANANIIND,Consumer Cyclical
ARCHIES,Consumer Cyclical
SHIVAMILLS,Consumer Cyclical
IPSL,
TREEHOUSE,Consumer Defensive
BDR,
VERTEXPLUS,
KEYFINSERV,Financial Services
KHFM,
AROGRANITE,Industrials
SEYAIND,Basic Materials
GIRIRAJ,
RSSOFTWARE,Technology
ORIENTLTD,Consumer Cyclical
EXCEL,Industrials
RELIABLE,
AAATECH,Technology
AGRITECH,Consumer Defensive
LGHL,Consumer Cyclical
SHRENIK,Basic Materials
ANKITMETAL,Basic Materials
JETFREIGHT,Industrials
VARDMNPOLY,Consumer Cyclical
NIRMAN,
SHREERAMA,Consumer Cyclical
SIDDHIKA,
BVCL,Basic Materials
KKVAPOW,
HOVS,Technology
AMBANIORG,
FSC,Industrials
ABMINTLLTD,Basic Materials
SEPOWER,
BANARBEADS,Consumer Cyclical
REGENCERAM,Industrials
PODDARHOUS,Real Estate
PENTAGOLD,
PARTYCRUS,
SONAHISONA,
MALUPAPER,Basic Materials
MOKSH,Consumer Cyclical
PULZ,
RBMINFRA,
ZENITHSTL,Basic Materials
NIDAN,
SAMBHAAV,Communication Services
UWCSL,
BANG,Consumer Cyclical
MRO,
MINDPOOL,
TAPIFRUIT,
ABCOTS,
PNC,Communication Services
SURANI,
PRECISION,
TIMESGTY,Financial Services
MANUGRAPH,Industrials
ZENITHEXPO,Consumer Cyclical
AARVEEDEN,Consumer Cyclical
SOMICONVEY,Industrials
DKEGL,
ARHAM,
TIMESCAN,
SGL,Consumer Cyclical
WEWIN,Technology
CMRSL,
SONUINFRA,
VIVIANA,
AKASH,Industrials
INDSWFTLTD,Healthcare
KARMAENG,Utilities
NAGREEKEXP,Consumer Cyclical
BURNPUR,Basic Materials
NIBL,Industrials
CUBEXTUB,Basic Materials
AISL,
SHAIVAL,
VINEETLAB,Basic Materials
ARISTO,
TERASOFT,Technology
CROWN,Industrials
JFLLIFE,
GLOBE,Consumer Cyclical
3PLAND,
VERA,
MILTON,
ADROITINFO,Technology
SHUBHLAXMI,
AGNI,
LFIC,Financial Services
VSCL,
MADHAV,Industrials
UJAAS,Technology
SUPERSPIN,Consumer Cyclical
RKDL,Consumer Defensive
AMBICAAGAR,Consumer Defensive
ACEINTEG,Industrials
OMFURN,
SWARAJ,
AJOONI,Consumer Defensive
KHANDSE,Financial Services
SAGARDEEP,Basic Materials
REXPIPES,
ADL,Consumer Cyclical
MCON,
CADSYS,
HBSL,Financial Services
SANGINITA,Basic Materials
GANGAFORGE,Industrials
ABINFRA,
PERFECT,
NARMADA,Basic Materials
RMDRIP,
NAGREEKCAP,Financial Services
LAXMICOT,Consumer Cyclical
PEARLPOLY,Consumer Cyclical
HECPROJECT,Industrials
SANWARIA,Consumer Defensive
MEGAFLEX,
GISOLUTION,Industrials
PARASPETRO,Consumer Cyclical
RITEZONE,
HEADSUP,Consumer Cyclical
VCL,Consumer Cyclical
PRITIKA,
KEEPLEARN,Consumer Defensive
COUNCODOS,Real Estate
ROLTA,Technology
DHARSUGAR,Consumer Defensive
ASLIND,
AGARWALFT,
NEXTMEDIA,Communication Services
RICHA,
DNAMEDIA,Communication Services
AMEYA,
DYNAMIC,
LIBAS,Consumer Cyclical
JETKNIT,
BALKRISHNA,Consumer Cyclical
MTEDUCARE,Consumer Defensive
GODHA,Industrials
GOENKA,Consumer Cyclical
HAVISHA,Consumer Cyclical
QUADPRO,
QFIL,
MADHUCON,Industrials
ROLLT,Industrials
CYBERMEDIA,Communication Services
JAKHARIA,
VEEKAYEM,
TGBHOTELS,Consumer Cyclical
VIVIDHA,Consumer Cyclical
FMNL,Real Estate
WALPAR,
DESTINY,
SUMEETINDS,Consumer Cyclical
ICDSLTD,Real Estate
LRRPL,
MPTODAY,
21STCENMGM,Financial Services
HYBRIDFIN,Financial Services
SABAR,
TFL,Financial Services
IMPEXFERRO,Basic Materials
INFOMEDIA,Financial Services
NKIND,Consumer Defensive
SHANTI,Consumer Defensive
GRCL,
FEL,Consumer Cyclical
THOMASCOTT,Consumer Cyclical
KHAITANLTD,Consumer Cyclical
WILLAMAGOR,Financial Services
LCCINFOTEC,Consumer Defensive
UNIINFO,Communication Services
ASMS,Technology
VIVO,
GAYAHWS,Industrials
CALSOFT,Technology
MOXSH,
ORIENTALTL,Industrials
ONELIFECAP,Financial Services
VIJIFIN,Financial Services
DIGJAMLMTD,
KRIDHANINF,Basic Materials
SILLYMONKS,Communication Services
MAKS,
TANTIACONS,
SUPREMEENG,Basic Materials
SILGO,Consumer Cyclical
MOHITIND,Consumer Cyclical
EDUCOMP,Consumer Defensive
EASTSILK,Consumer Cyclical
KANDARP,
CMICABLES,Industrials
NATNLSTEEL,
MITTAL,Consumer Cyclical
SPRL,
ORTINLAB,Healthcare
BRIGHT,
KAUSHALYA,Industrials
GUJRAFFIA,
MASKINVEST,Financial Services
ISHAN,
CONTI,
AMIABLE,
AILIMITED,
EUROTEXIND,Consumer Cyclical
TIJARIA,Industrials
TNTELE,Technology
KALYANI,Consumer Cyclical
SETUINFRA,Industrials
GRETEX,
LYPSAGEMS,Consumer Cyclical
METALFORGE,Industrials
SSINFRA,
SMVD,
RMCL,Consumer Cyclical
JALAN,
SANCO,Industrials
VASA,
KAVVERITEL,Technology
TECHIN,Real Estate
NORBTEAEXP,Consumer Defensive
KCK,
SPENTEX,Consumer Cyclical
CREATIVEYE,Communication Services
ANTGRAPHIC,Consumer Cyclical
TVVISION,Communication Services
ABNINT,
ARENTERP,Basic Materials
UMESLTD,Consumer Defensive
SHYAMTEL,Technology
MANAV,
ACCORD,
DRL,
GLFL,Financial Services
CMMIPL,
NIRAJISPAT,
DCMFINSERV,Financial Services
SRIRAM,
PREMIER,Industrials
SKSTEXTILE,
SABTN,Communication Services
TARAPUR,Industrials
BKMINDST,Consumer Cyclical
ALPSINDUS,Consumer Cyclical
AHIMSA,
BHALCHANDR,
INNOVATIVE,
LAKPRE,Industrials
TRANSWIND,
MELSTAR,Technology
SABEVENTS,Communication Services
INDLMETER,Industrials
TECILCHEM,Financial Services
ABHISHEK,
AHLWEST,Consumer Cyclical
AIFL,
AJRINFRA,Industrials
ALCHEM,Industrials
AMJUMBO,
ANDHRACEMT,
ANSALAPI,Real Estate
ARCOTECH,Industrials
ARSSINFRA,Industrials
ARTEDZ,
ASIL,
ATCOM,
ATLASCYCLE,Consumer Cyclical
ATNINTER,Financial Services
AUTOLITIND,
AUTORIDFIN,
BANSAL,
BGLOBAL,Technology
BHARATIDIL,
BILENERGY,Industrials
BIRLATYRE,Consumer Cyclical
BLUEBLENDS,
BLUECHIP,Financial Services
BLUECOAST,Consumer Cyclical
BRFL,Consumer Cyclical
CANDC,Industrials
CCCL,Industrials
CELESTIAL,
CKFSL,Financial Services
DFMFOODS,
DIAPOWER,
DOLPHINOFF,
DQE,Communication Services
DSKULKARNI,
EASTSUGIND,
EASUNREYRL,Industrials
EMCO,
EON,
EUROCERA,Industrials
EUROMULTI,Technology
FEDDERELEC,
FIVECORE,
GAMMONIND,
GANGOTRI,Consumer Cyclical
GBGLOBAL,Consumer Cyclical
GFSTEELS,Basic Materials
GITANJALI,
HINDNATGLS,Consumer Cyclical
ICSA,
INDOSOLAR,Technology
IVRCLINFRA,
JAINSTUDIO,Communication Services
JBFIND,Consumer Cyclical
JIKIND,Consumer Cyclical
JINDCOT,Consumer Cyclical
JMTAUTOLTD,Consumer Cyclical
JPINFRATEC,Industrials
KEERTI,
KGL,Consumer Defensive
KSERASERA,Communication Services
KSK,Utilities
LAKSHMIEFL,
LEEL,
MANPASAND,
MBECL,Industrials
MCDHOLDING,Financial Services
MERCATOR,Energy
METKORE,Basic Materials
MODTHREAD,
MOHOTAIND,Consumer Cyclical
MVL,
NAKODA,
NITINFIRE,Industrials
NTL,Basic Materials
NUTEK,
OISL,Basic Materials
OMKARCHEM,Basic Materials
OPAL,
OPTOCIRCUI,Healthcare
ORTEL,Communication Services
PDPL,Healthcare
PINCON,
PRATIBHA,
PRUDMOULI,
PSL,
